Dekade	Title	Number of characters	Max Degree	Average Degree	Density	Average Path Length									
1780	1781-Bretzner_Christoph_Friedrich-Belmont_und_Constanze_oder_Die_Entführung_aus_dem_Serail-speakers	11,00	9,00	6,18	0,62	1,44	Operette	1781-Bretzner_Christoph_Friedrich-Belmont_und_Constanze_oder_Die_Entf%C3%BChrung_aus_dem_Serail-lina.xml							
1780	1781-Schiller_Friedrich-Die_Räuber-speakers	25,00	24,00	16,32	0,68	1,32	Schauspiel	1781-Schiller_Friedrich-Die_R%C3%A4uber-lina.xml							
1780	1782-Schiller_Friedrich-Die_Verschwörung_des_Fiesco_zu_Genua-speakers	34,00	28,00	7,94	0,24	1,91	Trauerspiel	1782-Schiller_Friedrich-Die_Verschw%C3%B6rung_des_Fiesco_zu_Genua-lina.xml							
1780	1782-Schink_Johann_Friedrich-Der_neue_Doktor_Faust-speakers	4,00	3,00	2,00	0,67	1,33		1782-Schink_Johann_Friedrich-Der_neue_Doktor_Faust-lina.xml							
1780	1782-Stephanie_Johann_Gottlieb_(der_Jüngere)-Die_Entführung_aus_dem_Serail-speakers	10,00	7,00	4,60	0,51	1,21	Singspiel	1782-Stephanie_Johann_Gottlieb_(der_J%C3%BCngere)-Die_Entf%C3%BChrung_aus_dem_Serail-lina.xml							
1780	1784-Iffland_August_Wilhelm-Verbrechen_aus_Ehrsucht-speakers	16,00	13,00	6,12	0,41	1,64	Familiengemälde	1784-Iffland_August_Wilhelm-Verbrechen_aus_Ehrsucht-lina.xml							
1780	1784-Schiller_Friedrich-Kabale_und_Liebe-speakers	15,00	8,00	5,33	0,38	1,90	Trauerspiel	1784-Schiller_Friedrich-Kabale_und_Liebe-lina.xml							
1780	1784-Schröder_Friedrich_Ludwig-Der_Vetter_in_Lissabon-speakers	12,00	11,00	6,33	0,58	1,42	Bürgerliches Familiengemälde	1784-Schr%C3%B6der_Friedrich_Ludwig-Der_Vetter_in_Lissabon-lina.xml							
1780	1785-Iffland_August_Wilhelm-Die_Jäger-speakers	20,00	15,00	9,50	0,50	1,61	Sittengemälde	1785-Iffland_August_Wilhelm-Die_J%C3%A4ger-lina.xml							
1780	1786-Stephanie_Johann_Gottlieb_(der_Jüngere)-Der_Schauspieldirektor-speakers	10,00	9,00	8,20	0,91	1,09		1786-Stephanie_Johann_Gottlieb_(der_J%C3%BCngere)-Der_Schauspieldirektor-lina.xml							
1780	1786-Stephanie_Johann_Gottlieb_(der_Jüngere)-Doktor_und_Apotheker-speakers	10,00	9,00	7,40	0,82	1,18	 Oper	1786-Stephanie_Johann_Gottlieb_(der_J%C3%BCngere)-Doktor_und_Apotheker-lina.xml							
1780	1787-Goethe_Johann_Wolfgang_von-Iphigenie_auf_Tauris-speakers	5,00	4,00	4,00	1,00	1,00	Schauspiel	1787-Goethe_Johann_Wolfgang_von-Iphigenie_auf_Tauris-lina.xml							
1780	1787-Schiller_Friedrich-Don_Carlos_Infant_von_Spanien-speakers	25,00	19,00	8,72	0,36	1,78		1787-Schiller_Friedrich-Don_Carlos_Infant_von_Spanien-lina.xml							
1780	1787-Stephanie_Johann_Gottlieb_(der_Jüngere)-Die_Liebe_im_Narrenhause-speakers	12,00	11,00	11,00	1,00	1,00	Oper	1787-Stephanie_Johann_Gottlieb_(der_J%C3%BCngere)-Die_Liebe_im_Narrenhause-lina.xml							
1780	1788-Goethe_Johann_Wolfgang_von-Egmont-speakers	23,00	17,00	6,52	0,30	1,74	Trauerspiel	1788-Goethe_Johann_Wolfgang_von-Egmont-lina.xml							
1780	1789-Kotzebue_August_von-Die_Indianer_in_England-speakers	14,00	12,00	9,71	0,75	1,26	Lustspiel	1789-Kotzebue_August_von-Die_Indianer_in_England-lina.xml							
1790	1790-Ayrenhoff_Cornelius_Hermann_von-Virginia_oder_das_abgeschaffte_Decemvirat-speakers	16,00	14,00	11,75	0,78	1,22	Trauerspiel	1790-Ayrenhoff_Cornelius_Hermann_von-Virginia_oder_das_abgeschaffte_Decemvirat-lina.xml							
