name;title;author;chars;words;speech_acts
HERRMANN;Die Candidaten oder Die Mittel zu einem Amte zu gelangen;Krüger, Johann Christian;25371;4443;77
CHRISTOPH;Die Schule des Armen oder Zwei Millionen;Kaiser, Friedrich;25367;4641;156
SCHULMEISTER;Scherz, Satire, Ironie und tiefere Bedeutung;Grabbe, Christian Dietrich;25336;4266;110
ELEKTRA;Elektra;Hofmannsthal, Hugo von;25283;4956;145
URIEL;Uriel Acosta;Gutzkow, Karl;25232;4700;103
DAMON;Der MiÃŸtrauische;Cronegk, Johann Friedrich von;25111;4408;92
GELLERT;Gottsched und Gellert;Laube, Heinrich;25078;4261;187
VIREN;Halle;Arnim, Ludwig Achim von;25046;4644;111
HANNA;Hanna Jagert;Hartleben, Otto Erich;25026;4522;247
STREPHON;Die Freunde machen den Philosophen;Lenz, Jakob Michael Reinhold;24947;4565;111
NICANDER;Der Triumph der guten Frauen;Schlegel, Johann Elias;24919;4529;195
KÃ–NIG;MaikÃ_fer-Komödie;Widmann, Joseph Viktor;24867;4559;143
MUFFEL;Die Geistlichen auf dem Lande;Krüger, Johann Christian;24841;4494;152
WENDELBORN;Tobias Buntschuh;Hauptmann, Carl;24645;3970;89
WENZESLAUS;Der Hofmeister oder Vorteile der Privaterziehung;Lenz, Jakob Michael Reinhold;24624;4555;53
PHILINTE;Der Triumph der guten Frauen;Schlegel, Johann Elias;24535;4443;183
THOMAS;Magdalena;Thoma, Ludwig;24497;4874;379
HERR VON BIEDERLING;Der neue Menoza oder Geschichte des cumbanischen Prinzen Tandi;Lenz, Jakob Michael Reinhold;24482;4591;130
JULIAN;Der Turm;Hofmannsthal, Hugo von;24450;4379;215
GRAF;Die beiden Klingsberg;Kotzebue, August von;24425;4423;338
PRAKTINSKI;Faustine, der weibliche Faust;SchÃ_fer, Wilhelm;24375;4438;107
WUMSHÃ„TER;Der Misogyn;Lessing, Gotthold Ephraim;24359;4467;150
RÃ–SCHEN;Pfeffer-Rösel oder Die Frankfurter Messe im Jahre 1297;Birch-Pfeiffer, Charlotte;24253;4511;57
DER MAJOR;MenschenhaÃŸ und Reue;Kotzebue, August von;24239;4230;189
MICHEL;Die Jagd;WeiÃŸe, Christian Felix;24203;4726;144
XUTHUS;Jon;Schlegel, August Wilhelm;24100;4288;69
KANDAULES;Gyges und sein Ring;Hebbel, Friedrich;24062;4731;179
GUNNAR;Der Held des Nordens;FouquÃ©, Friedrich de la Motte;24045;4448;250
ERBPRINZ;Zopf und Schwert;Gutzkow, Karl;23937;4128;203
AMALIE;Lucie Woodvil;Pfeil, Johann Gottlob Benjamin;23930;4154;64
JOSEF;Musik;Wedekind, Frank;23915;4035;79
MILLER;Kabale und Liebe;Schiller, Friedrich;23914;4395;100
SEBASTIAN;Stadt und Land oder Der ViehhÃ_ndler aus Oberösterreich;Kaiser, Friedrich;23900;4776;200
ELSABE;Mudder Mews;Stavenhagen, Fritz;23814;4984;267
BANCBANUS;Ein treuer Diener seines Herrn;Grillparzer, Franz;23811;4629;146
BAHNWERTER;Bahnmeister Dood;BoÃŸdorf, Hermann;23799;5143;236
TRAST;Die Ehre;Sudermann, Hermann;23782;4223;162
SPIEGELBERG;Die RÃ_uber;Schiller, Friedrich;23776;4235;60
VON GRÃ–NINGSECK;Die Kindermörderin;Wagner, Heinrich Leopold;23771;4457;154
LENE;Die Haubenlerche;Wildenbruch, Ernst von;23727;4977;483
SALADIN;Nathan der Weise;Lessing, Gotthold Ephraim;23682;4563;196
KUNZ;Der vierundzwanzigste Februar;Werner, Zacharias;23644;4745;165
HERR VON HASENKOPF;Der Furchtsame;Hafner, Philipp;23620;4172;113
BALTHASAR;Franz von Sickingen;Lassalle, Ferdinand;23618;4385;73
AGNES;Ritter Blaubart;Tieck, Ludwig;23603;4443;178
KÃ–NIG;Der Turm;Hofmannsthal, Hugo von;23578;4260;111
DELOMER;Das Erbtheil des Vaters;Iffland, August Wilhelm;23562;4375;384
SIEGFRIED;Siegfried;Wagner, Richard;23553;4700;112
JUNGFER FRÃ–HLICHIN;Der Hypochondrist;Quistorp, Theodor Johann;23536;4217;164
JON;Jon;Schlegel, August Wilhelm;23514;4239;109
LADY;Kabale und Liebe;Schiller, Friedrich;23499;4194;79
